,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
1,2019,4,18,Thursday,11,53,NA,NA,birth,NA,,kch,18004
2,2019,10,18,Friday,7,50,NA,NA,wet,NA,,ap,18004
3,2019,10,18,Friday,10,0,NA,NA,wet,NA,,ap,18004
4,2019,10,18,Friday,12,20,NA,NA,wet,NA,,ap,18004
5,2019,10,18,Friday,14,25,NA,NA,wet,NA,,ap,18004
6,2019,10,18,Friday,8,20,NA,NA,bottle,1.5,oz,ap,18004
7,2019,10,18,Friday,10,40,NA,NA,bottle,2.5,oz,ap,18004
8,2019,10,18,Friday,12,30,NA,NA,bottle,2,oz,ap,18004
9,2019,10,18,Friday,14,53,NA,NA,bottle,2,oz,ap,18004
10,2019,10,18,Friday,9,10,9,58,nap,NA,,ap,18004
11,2019,10,18,Friday,13,1,13,30,nap,NA,,ap,18004
12,2019,10,17,Thursday,7,50,NA,NA,wet,NA,,ap,18004
13,2019,10,17,Thursday,8,30,NA,NA,caregiver_change,NA,,ap_vona,18004
14,2019,10,17,Thursday,9,55,NA,NA,wet,NA,,vona,18004
15,2019,10,17,Thursday,11,53,NA,NA,wet,NA,,vona,18004
16,2019,10,17,Thursday,13,41,NA,NA,bowel,NA,,vona,18004
17,2019,10,17,Thursday,15,15,NA,NA,wet,NA,,vona,18004
18,2019,10,17,Thursday,9,21,9,52,nap,NA,,vona,18004
19,2019,10,17,Thursday,14,12,14,45,nap,NA,,vona,18004
20,2019,10,17,Thursday,9,8,NA,NA,bottle,3,oz,vona,18004
21,2019,10,17,Thursday,11,5,NA,NA,bottle,2,oz,vona,18004
22,2019,10,17,Thursday,12,10,NA,NA,bottle,2,oz,vona,18004
23,2019,10,17,Thursday,14,0,NA,NA,bottle,2,oz,vona,18004
24,2019,10,16,Wednesday,7,10,NA,NA,dry,NA,,ap,18004
25,2019,10,16,Wednesday,8,5,NA,NA,wet,NA,,ap,18004
26,2019,10,16,Wednesday,10,0,NA,NA,wet,NA,,ap,18004
27,2019,10,16,Wednesday,11,35,NA,NA,bowel,NA,,ap,18004
28,2019,10,16,Wednesday,13,15,NA,NA,wet,NA,,ap,18004
29,2019,10,16,Wednesday,8,0,NA,NA,bottle,2,oz,ap,18004
30,2019,10,16,Wednesday,10,40,NA,NA,bottle,3.5,oz,ap,18004
31,2019,10,16,Wednesday,13,20,NA,NA,bottle,3,oz,ap,18004
32,2019,10,16,Wednesday,9,5,9,45,nap,NA,,ap,18004
33,2019,10,16,Wednesday,13,30,14,10,nap,NA,,ap,18004
34,2019,10,15,Tuesday,6,50,NA,NA,dry,NA,,ap,18004
35,2019,10,15,Tuesday,7,50,NA,NA,wet,NA,,ap,18004
36,2019,10,15,Tuesday,10,5,NA,NA,wet,NA,,ap,18004
37,2019,10,15,Tuesday,12,20,NA,NA,bowel,NA,,ap,18004
38,2019,10,15,Tuesday,14,10,NA,NA,wet,NA,,ap,18004
39,2019,10,15,Tuesday,8,0,NA,NA,bottle,2,oz,ap,18004
40,2019,10,15,Tuesday,10,35,NA,NA,bottle,2,oz,ap,18004
41,2019,10,15,Tuesday,12,45,NA,NA,bottle,1.5,oz,ap,18004
42,2019,10,15,Tuesday,14,15,NA,NA,bottle,1.5,oz,ap,18004
43,2019,10,15,Tuesday,9,30,10,0,nap,NA,,ap,18004
44,2019,10,15,Tuesday,11,35,12,15,nap,NA,,ap,18004
45,2019,9,27,Friday,7,0,NA,NA,wet,NA,,vona,18004
46,2019,9,27,Friday,7,52,NA,NA,bowel,NA,,vona,18004
47,2019,9,27,Friday,10,15,NA,NA,dry,NA,,ij,18004
